Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,Population_Size,Mutation_Rate,Problem_Size,Seed
0,0.24370875605382025,48.0,1000.0,1000,0.01,2048,1000,0.01,25,55
1,0.3603936230065301,55.0,2002.0,1000,0.01,2048,1000,0.01,25,55
0,0.05759273999137804,49.0,1000.0,1000,0.01,2048,1000,0.01,25,888
1,0.2255276619689539,55.0,2002.0,1000,0.01,2048,1000,0.01,25,888
0,0.07741208298830315,47.0,1000.0,1000,0.01,2048,1000,0.01,25,12345
1,0.2129563929629512,55.0,2002.0,1000,0.01,2048,1000,0.01,25,12345
0,0.14412232500035316,109.0,1000.0,1000,0.4,2048,1000,0.4,50,55
1,0.34859928698278964,119.0,2002.0,1000,0.4,2048,1000,0.4,50,55
2,0.5154877129825763,121.0,3004.0,1000,0.4,2048,1000,0.4,50,55
3,0.7077711639576592,121.0,4005.0,1000,0.4,2048,1000,0.4,50,55
4,0.8764419649960473,121.0,5006.0,1000,0.4,2048,1000,0.4,50,55
5,1.0375582739943638,121.0,6007.0,1000,0.4,2048,1000,0.4,50,55
6,1.2217702509951778,121.0,7008.0,1000,0.4,2048,1000,0.4,50,55
7,1.388659550982993,121.0,8009.0,1000,0.4,2048,1000,0.4,50,55
8,2.090692438010592,121.0,9010.0,1000,0.4,2048,1000,0.4,50,55
9,2.5185979710076936,121.0,10011.0,1000,0.4,2048,1000,0.4,50,55
10,2.815445148968138,121.0,11012.0,1000,0.4,2048,1000,0.4,50,55
11,3.090349215955939,121.0,12013.0,1000,0.4,2048,1000,0.4,50,55
12,3.46581787901232,122.0,13015.0,1000,0.4,2048,1000,0.4,50,55
13,3.6388787489850074,122.0,14016.0,1000,0.4,2048,1000,0.4,50,55
14,3.9177601339761168,122.0,15017.0,1000,0.4,2048,1000,0.4,50,55
15,4.101806429971475,122.0,16018.0,1000,0.4,2048,1000,0.4,50,55
16,4.291895342001226,122.0,17019.0,1000,0.4,2048,1000,0.4,50,55
17,4.477474262996111,122.0,18020.0,1000,0.4,2048,1000,0.4,50,55
18,4.735629852977581,122.0,19021.0,1000,0.4,2048,1000,0.4,50,55
19,4.900983483006712,122.0,20022.0,1000,0.4,2048,1000,0.4,50,55
20,5.084011030965485,122.0,21023.0,1000,0.4,2048,1000,0.4,50,55
21,5.413478104979731,122.0,22024.0,1000,0.4,2048,1000,0.4,50,55
22,5.669545084994752,122.0,23025.0,1000,0.4,2048,1000,0.4,50,55
23,5.844705155002885,122.0,24026.0,1000,0.4,2048,1000,0.4,50,55
24,6.06807228398975,122.0,25027.0,1000,0.4,2048,1000,0.4,50,55
25,6.327056985988747,122.0,26028.0,1000,0.4,2048,1000,0.4,50,55
26,6.51407339196885,122.0,27029.0,1000,0.4,2048,1000,0.4,50,55
27,7.086374250007793,122.0,28030.0,1000,0.4,2048,1000,0.4,50,55
28,7.287404854956549,122.0,29031.0,1000,0.4,2048,1000,0.4,50,55
29,7.494098866998684,122.0,30032.0,1000,0.4,2048,1000,0.4,50,55
30,7.730925940966699,122.0,31033.0,1000,0.4,2048,1000,0.4,50,55
31,7.910713350982405,122.0,32034.0,1000,0.4,2048,1000,0.4,50,55
32,8.127890989999287,122.0,33035.0,1000,0.4,2048,1000,0.4,50,55
33,8.392904115957208,122.0,34036.0,1000,0.4,2048,1000,0.4,50,55
34,8.634250428003725,122.0,35037.0,1000,0.4,2048,1000,0.4,50,55
35,8.807550224009901,122.0,36038.0,1000,0.4,2048,1000,0.4,50,55
36,8.978766034997534,122.0,37039.0,1000,0.4,2048,1000,0.4,50,55
37,9.182719970005564,122.0,38040.0,1000,0.4,2048,1000,0.4,50,55
38,9.35927754896693,122.0,39041.0,1000,0.4,2048,1000,0.4,50,55
39,9.696629692974966,122.0,40042.0,1000,0.4,2048,1000,0.4,50,55
40,11.035445212968625,122.0,41043.0,1000,0.4,2048,1000,0.4,50,55
41,11.535484201973304,122.0,42044.0,1000,0.4,2048,1000,0.4,50,55
42,11.73925625596894,122.0,43045.0,1000,0.4,2048,1000,0.4,50,55
43,12.358079093974084,122.0,44046.0,1000,0.4,2048,1000,0.4,50,55
44,12.727739245980047,122.0,45047.0,1000,0.4,2048,1000,0.4,50,55
45,13.020245863997843,122.0,46048.0,1000,0.4,2048,1000,0.4,50,55
46,13.259654699999373,122.0,47049.0,1000,0.4,2048,1000,0.4,50,55
47,13.444650650955737,122.0,48050.0,1000,0.4,2048,1000,0.4,50,55
48,13.674407295009587,122.0,49051.0,1000,0.4,2048,1000,0.4,50,55
49,13.85288171999855,122.0,50052.0,1000,0.4,2048,1000,0.4,50,55
50,14.030450138961896,122.0,51053.0,1000,0.4,2048,1000,0.4,50,55
51,14.65443337598117,122.0,52054.0,1000,0.4,2048,1000,0.4,50,55
52,14.938029491982888,122.0,53055.0,1000,0.4,2048,1000,0.4,50,55
53,15.153781784989405,122.0,54056.0,1000,0.4,2048,1000,0.4,50,55
54,15.321092666010372,122.0,55057.0,1000,0.4,2048,1000,0.4,50,55
55,15.550489371991716,122.0,56058.0,1000,0.4,2048,1000,0.4,50,55
56,15.809234793996438,122.0,57059.0,1000,0.4,2048,1000,0.4,50,55
57,16.012691732961684,122.0,58060.0,1000,0.4,2048,1000,0.4,50,55
58,16.32961311400868,122.0,59061.0,1000,0.4,2048,1000,0.4,50,55
59,16.599668548966292,122.0,60062.0,1000,0.4,2048,1000,0.4,50,55
60,16.792119538993575,122.0,61063.0,1000,0.4,2048,1000,0.4,50,55
61,16.982088037999347,122.0,62064.0,1000,0.4,2048,1000,0.4,50,55
62,17.18909011996584,122.0,63065.0,1000,0.4,2048,1000,0.4,50,55
63,17.36137834697729,122.0,64066.0,1000,0.4,2048,1000,0.4,50,55
64,17.521566710958723,122.0,65067.0,1000,0.4,2048,1000,0.4,50,55
65,17.710683148005046,122.0,66068.0,1000,0.4,2048,1000,0.4,50,55
66,18.495684210967738,122.0,67069.0,1000,0.4,2048,1000,0.4,50,55
67,18.766741344006732,122.0,68070.0,1000,0.4,2048,1000,0.4,50,55
68,18.971143224975094,122.0,69071.0,1000,0.4,2048,1000,0.4,50,55
69,19.661351623013616,122.0,70072.0,1000,0.4,2048,1000,0.4,50,55
70,19.944354414008558,122.0,71073.0,1000,0.4,2048,1000,0.4,50,55
71,20.144250551005825,122.0,72074.0,1000,0.4,2048,1000,0.4,50,55
72,20.38219355198089,122.0,73075.0,1000,0.4,2048,1000,0.4,50,55
73,20.652577403001487,122.0,74076.0,1000,0.4,2048,1000,0.4,50,55
74,20.86406612000428,122.0,75077.0,1000,0.4,2048,1000,0.4,50,55
75,21.168519516999368,122.0,76078.0,1000,0.4,2048,1000,0.4,50,55
76,21.643733992008492,122.0,77079.0,1000,0.4,2048,1000,0.4,50,55
77,21.832627545983996,122.0,78080.0,1000,0.4,2048,1000,0.4,50,55
78,22.007573365001008,122.0,79081.0,1000,0.4,2048,1000,0.4,50,55
79,22.264383814006578,122.0,80082.0,1000,0.4,2048,1000,0.4,50,55
80,22.45182862697402,123.0,81084.0,1000,0.4,2048,1000,0.4,50,55
0,0.11808276700321585,108.0,1000.0,1000,0.4,2048,1000,0.4,50,888
1,0.35763521504122764,121.0,2002.0,1000,0.4,2048,1000,0.4,50,888
2,0.6132764370413497,121.0,3003.0,1000,0.4,2048,1000,0.4,50,888
3,0.8091113950358704,121.0,4004.0,1000,0.4,2048,1000,0.4,50,888
4,0.9867270209942944,122.0,5006.0,1000,0.4,2048,1000,0.4,50,888
5,1.1755407089949585,122.0,6007.0,1000,0.4,2048,1000,0.4,50,888
6,1.3627353720366955,122.0,7008.0,1000,0.4,2048,1000,0.4,50,888
7,1.533687399001792,122.0,8009.0,1000,0.4,2048,1000,0.4,50,888
8,1.7331564100459218,122.0,9010.0,1000,0.4,2048,1000,0.4,50,888
9,1.9225473050028086,122.0,10011.0,1000,0.4,2048,1000,0.4,50,888
10,2.0848575660493225,122.0,11012.0,1000,0.4,2048,1000,0.4,50,888
11,2.247866793011781,122.0,12013.0,1000,0.4,2048,1000,0.4,50,888
12,2.410492190043442,122.0,13014.0,1000,0.4,2048,1000,0.4,50,888
13,2.5736302669974975,122.0,14015.0,1000,0.4,2048,1000,0.4,50,888
14,2.7798787759966217,122.0,15016.0,1000,0.4,2048,1000,0.4,50,888
15,3.546141422993969,122.0,16017.0,1000,0.4,2048,1000,0.4,50,888
16,3.8314039210090414,122.0,17018.0,1000,0.4,2048,1000,0.4,50,888
17,4.863577205047477,122.0,18019.0,1000,0.4,2048,1000,0.4,50,888
18,5.639253105036914,122.0,19020.0,1000,0.4,2048,1000,0.4,50,888
19,6.015400569012854,122.0,20021.0,1000,0.4,2048,1000,0.4,50,888
20,6.371616435004398,122.0,21022.0,1000,0.4,2048,1000,0.4,50,888
21,6.581298000004608,122.0,22023.0,1000,0.4,2048,1000,0.4,50,888
22,6.905702796007972,122.0,23024.0,1000,0.4,2048,1000,0.4,50,888
23,7.092079622030724,122.0,24025.0,1000,0.4,2048,1000,0.4,50,888
24,7.299062424048316,122.0,25026.0,1000,0.4,2048,1000,0.4,50,888
25,7.7283192240283825,122.0,26027.0,1000,0.4,2048,1000,0.4,50,888
26,8.189015153038781,122.0,27028.0,1000,0.4,2048,1000,0.4,50,888
27,8.389487567008473,122.0,28029.0,1000,0.4,2048,1000,0.4,50,888
28,8.593600441003218,122.0,29030.0,1000,0.4,2048,1000,0.4,50,888
29,8.839927681023255,122.0,30031.0,1000,0.4,2048,1000,0.4,50,888
30,9.10165277699707,122.0,31032.0,1000,0.4,2048,1000,0.4,50,888
31,9.315049057011493,122.0,32033.0,1000,0.4,2048,1000,0.4,50,888
32,9.53843588399468,122.0,33034.0,1000,0.4,2048,1000,0.4,50,888
33,9.80082071601646,122.0,34035.0,1000,0.4,2048,1000,0.4,50,888
34,9.981380522018299,122.0,35036.0,1000,0.4,2048,1000,0.4,50,888
35,10.158066496020183,122.0,36037.0,1000,0.4,2048,1000,0.4,50,888
36,10.405632527021226,122.0,37038.0,1000,0.4,2048,1000,0.4,50,888
37,10.603423496009782,123.0,38040.0,1000,0.4,2048,1000,0.4,50,888
0,0.16289408202283084,111.0,1000.0,1000,0.4,2048,1000,0.4,50,12345
1,0.4021814720472321,121.0,2002.0,1000,0.4,2048,1000,0.4,50,12345
2,0.6122251370106824,121.0,3003.0,1000,0.4,2048,1000,0.4,50,12345
3,0.8286504390416667,121.0,4004.0,1000,0.4,2048,1000,0.4,50,12345
4,1.020498285011854,121.0,5005.0,1000,0.4,2048,1000,0.4,50,12345
5,1.3352434000116773,121.0,6006.0,1000,0.4,2048,1000,0.4,50,12345
6,1.542132313014008,121.0,7007.0,1000,0.4,2048,1000,0.4,50,12345
7,1.7203662830288522,122.0,8009.0,1000,0.4,2048,1000,0.4,50,12345
8,1.9095624530455098,122.0,9010.0,1000,0.4,2048,1000,0.4,50,12345
9,2.1349825329962187,122.0,10011.0,1000,0.4,2048,1000,0.4,50,12345
10,2.307924783031922,122.0,11012.0,1000,0.4,2048,1000,0.4,50,12345
11,2.4705158279975876,122.0,12013.0,1000,0.4,2048,1000,0.4,50,12345
12,2.632173206016887,122.0,13014.0,1000,0.4,2048,1000,0.4,50,12345
13,2.8102334270370193,122.0,14015.0,1000,0.4,2048,1000,0.4,50,12345
14,2.986305363010615,122.0,15016.0,1000,0.4,2048,1000,0.4,50,12345
15,3.198603807017207,122.0,16017.0,1000,0.4,2048,1000,0.4,50,12345
16,3.3831046370323747,122.0,17018.0,1000,0.4,2048,1000,0.4,50,12345
17,3.572198503999971,122.0,18019.0,1000,0.4,2048,1000,0.4,50,12345
18,3.749379030021373,122.0,19020.0,1000,0.4,2048,1000,0.4,50,12345
19,3.9409316290402785,122.0,20021.0,1000,0.4,2048,1000,0.4,50,12345
20,4.178809973993339,122.0,21022.0,1000,0.4,2048,1000,0.4,50,12345
21,4.379462504002731,122.0,22023.0,1000,0.4,2048,1000,0.4,50,12345
22,4.549737544031814,122.0,23024.0,1000,0.4,2048,1000,0.4,50,12345
23,4.759920715005137,122.0,24025.0,1000,0.4,2048,1000,0.4,50,12345
24,5.467398349021096,122.0,25026.0,1000,0.4,2048,1000,0.4,50,12345
25,5.663276366016362,122.0,26027.0,1000,0.4,2048,1000,0.4,50,12345
26,5.891037894994952,122.0,27028.0,1000,0.4,2048,1000,0.4,50,12345
27,6.115355704037938,122.0,28029.0,1000,0.4,2048,1000,0.4,50,12345
28,6.311297670996282,122.0,29030.0,1000,0.4,2048,1000,0.4,50,12345
29,6.5158531500492245,122.0,30031.0,1000,0.4,2048,1000,0.4,50,12345
30,6.720828249002807,122.0,31032.0,1000,0.4,2048,1000,0.4,50,12345
31,6.910785193031188,122.0,32033.0,1000,0.4,2048,1000,0.4,50,12345
32,7.146134935028385,122.0,33034.0,1000,0.4,2048,1000,0.4,50,12345
33,7.333513977006078,122.0,34035.0,1000,0.4,2048,1000,0.4,50,12345
34,7.543599993048701,122.0,35036.0,1000,0.4,2048,1000,0.4,50,12345
35,7.749882723030169,122.0,36037.0,1000,0.4,2048,1000,0.4,50,12345
36,7.986801912018564,122.0,37038.0,1000,0.4,2048,1000,0.4,50,12345
37,8.186996792035643,122.0,38039.0,1000,0.4,2048,1000,0.4,50,12345
38,8.40539654501481,122.0,39040.0,1000,0.4,2048,1000,0.4,50,12345
39,8.616098157013766,122.0,40041.0,1000,0.4,2048,1000,0.4,50,12345
40,8.896534514031373,122.0,41042.0,1000,0.4,2048,1000,0.4,50,12345
41,9.182332375028636,122.0,42043.0,1000,0.4,2048,1000,0.4,50,12345
42,9.425663608999457,122.0,43044.0,1000,0.4,2048,1000,0.4,50,12345
43,9.625059535028413,122.0,44045.0,1000,0.4,2048,1000,0.4,50,12345
44,9.882276000047568,122.0,45046.0,1000,0.4,2048,1000,0.4,50,12345
45,10.234049187041819,122.0,46047.0,1000,0.4,2048,1000,0.4,50,12345
46,10.540622277010698,122.0,47048.0,1000,0.4,2048,1000,0.4,50,12345
47,10.74752543400973,123.0,48050.0,1000,0.4,2048,1000,0.4,50,12345
0,0.21000985702266917,206.0,1000.0,1000,0.5,2048,1000,0.5,100,55
1,0.5380356480018236,220.0,2002.0,1000,0.5,2048,1000,0.5,100,55
2,0.842440267035272,220.0,3003.0,1000,0.5,2048,1000,0.5,100,55
3,1.1582749860244803,222.0,4005.0,1000,0.5,2048,1000,0.5,100,55
4,1.5577183790155686,222.0,5006.0,1000,0.5,2048,1000,0.5,100,55
5,1.820614675001707,225.0,6008.0,1000,0.5,2048,1000,0.5,100,55
6,2.131980548030697,225.0,7009.0,1000,0.5,2048,1000,0.5,100,55
7,2.4127560170018114,225.0,8010.0,1000,0.5,2048,1000,0.5,100,55
8,2.6672915530507453,225.0,9011.0,1000,0.5,2048,1000,0.5,100,55
9,2.913037412043195,225.0,10012.0,1000,0.5,2048,1000,0.5,100,55
10,3.1501789220492356,225.0,11013.0,1000,0.5,2048,1000,0.5,100,55
11,3.4356590899988078,225.0,12014.0,1000,0.5,2048,1000,0.5,100,55
12,3.781596534012351,225.0,13015.0,1000,0.5,2048,1000,0.5,100,55
13,4.039867811021395,225.0,14016.0,1000,0.5,2048,1000,0.5,100,55
14,4.383901633031201,225.0,15017.0,1000,0.5,2048,1000,0.5,100,55
15,4.672967384045478,225.0,16018.0,1000,0.5,2048,1000,0.5,100,55
16,4.952444477006793,225.0,17019.0,1000,0.5,2048,1000,0.5,100,55
17,5.270172681019176,225.0,18020.0,1000,0.5,2048,1000,0.5,100,55
18,5.525865896022879,225.0,19021.0,1000,0.5,2048,1000,0.5,100,55
19,5.780484749993775,225.0,20022.0,1000,0.5,2048,1000,0.5,100,55
20,6.0416039660340175,225.0,21023.0,1000,0.5,2048,1000,0.5,100,55
21,6.324575179023668,225.0,22024.0,1000,0.5,2048,1000,0.5,100,55
22,6.577986298012547,225.0,23025.0,1000,0.5,2048,1000,0.5,100,55
23,6.828309575037565,225.0,24026.0,1000,0.5,2048,1000,0.5,100,55
24,7.073325150995515,225.0,25027.0,1000,0.5,2048,1000,0.5,100,55
25,7.330353869998362,225.0,26028.0,1000,0.5,2048,1000,0.5,100,55
26,7.585537829028908,225.0,27029.0,1000,0.5,2048,1000,0.5,100,55
27,7.815539160044864,225.0,28030.0,1000,0.5,2048,1000,0.5,100,55
28,8.047596746997442,225.0,29031.0,1000,0.5,2048,1000,0.5,100,55
29,8.282979705021717,225.0,30032.0,1000,0.5,2048,1000,0.5,100,55
30,8.526880049030297,225.0,31033.0,1000,0.5,2048,1000,0.5,100,55
31,8.758955268014688,225.0,32034.0,1000,0.5,2048,1000,0.5,100,55
32,8.989270727033727,225.0,33035.0,1000,0.5,2048,1000,0.5,100,55
33,9.226804055040702,225.0,34036.0,1000,0.5,2048,1000,0.5,100,55
34,9.482579794013873,225.0,35037.0,1000,0.5,2048,1000,0.5,100,55
35,9.72241325804498,225.0,36038.0,1000,0.5,2048,1000,0.5,100,55
36,9.953810378035996,225.0,37039.0,1000,0.5,2048,1000,0.5,100,55
37,10.185174558020663,225.0,38040.0,1000,0.5,2048,1000,0.5,100,55
38,10.435414400999434,225.0,39041.0,1000,0.5,2048,1000,0.5,100,55
39,10.669116878008936,225.0,40042.0,1000,0.5,2048,1000,0.5,100,55
40,10.897295872040559,225.0,41043.0,1000,0.5,2048,1000,0.5,100,55
41,11.134126862045377,225.0,42044.0,1000,0.5,2048,1000,0.5,100,55
42,11.378152321034577,225.0,43045.0,1000,0.5,2048,1000,0.5,100,55
43,11.715170936018694,225.0,44046.0,1000,0.5,2048,1000,0.5,100,55
44,11.946010882034898,225.0,45047.0,1000,0.5,2048,1000,0.5,100,55
45,12.18091049400391,225.0,46048.0,1000,0.5,2048,1000,0.5,100,55
46,12.428290558047593,225.0,47049.0,1000,0.5,2048,1000,0.5,100,55
47,12.660002074029762,225.0,48050.0,1000,0.5,2048,1000,0.5,100,55
48,12.8917120959959,225.0,49051.0,1000,0.5,2048,1000,0.5,100,55
49,13.126313371001743,225.0,50052.0,1000,0.5,2048,1000,0.5,100,55
50,13.383327804040164,225.0,51053.0,1000,0.5,2048,1000,0.5,100,55
51,13.623681178025436,225.0,52054.0,1000,0.5,2048,1000,0.5,100,55
52,13.874103050038684,225.0,53055.0,1000,0.5,2048,1000,0.5,100,55
53,14.108422309043817,225.0,54056.0,1000,0.5,2048,1000,0.5,100,55
54,14.352201068017166,225.0,55057.0,1000,0.5,2048,1000,0.5,100,55
55,14.59134639200056,225.0,56058.0,1000,0.5,2048,1000,0.5,100,55
56,14.829515998018906,225.0,57059.0,1000,0.5,2048,1000,0.5,100,55
57,15.065205025020987,225.0,58060.0,1000,0.5,2048,1000,0.5,100,55
58,15.3141957220505,225.0,59061.0,1000,0.5,2048,1000,0.5,100,55
59,15.554659440007526,225.0,60062.0,1000,0.5,2048,1000,0.5,100,55
60,15.788036669022404,225.0,61063.0,1000,0.5,2048,1000,0.5,100,55
61,16.019929016998503,225.0,62064.0,1000,0.5,2048,1000,0.5,100,55
62,16.265156120003667,225.0,63065.0,1000,0.5,2048,1000,0.5,100,55
63,16.519499514019117,225.0,64066.0,1000,0.5,2048,1000,0.5,100,55
64,16.747686806018464,225.0,65067.0,1000,0.5,2048,1000,0.5,100,55
65,16.981495974003337,227.0,66069.0,1000,0.5,2048,1000,0.5,100,55
66,17.261811926029623,227.0,67070.0,1000,0.5,2048,1000,0.5,100,55
67,17.56903452402912,227.0,68071.0,1000,0.5,2048,1000,0.5,100,55
68,17.832937963015866,227.0,69072.0,1000,0.5,2048,1000,0.5,100,55
69,18.163757324044127,227.0,70073.0,1000,0.5,2048,1000,0.5,100,55
70,18.47565359500004,227.0,71074.0,1000,0.5,2048,1000,0.5,100,55
71,18.72082704404602,227.0,72075.0,1000,0.5,2048,1000,0.5,100,55
72,18.95075027400162,227.0,73076.0,1000,0.5,2048,1000,0.5,100,55
73,19.279268336016685,227.0,74077.0,1000,0.5,2048,1000,0.5,100,55
74,19.61331580404658,227.0,75078.0,1000,0.5,2048,1000,0.5,100,55
75,19.91144543903647,227.0,76079.0,1000,0.5,2048,1000,0.5,100,55
76,20.177654654020444,227.0,77080.0,1000,0.5,2048,1000,0.5,100,55
77,20.43747089104727,227.0,78081.0,1000,0.5,2048,1000,0.5,100,55
78,20.708651848020963,227.0,79082.0,1000,0.5,2048,1000,0.5,100,55
